Source,Destination,Protocol,Length,Tcp_Flags,Label
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,96,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
